sample,B2M,CD274,CTLA4,HLA-A,HLA-B,HLA-C,PDCD1,PDCD1LG2,TAP1,TAPBP,canType
TCGA-KK-A7B3-01A-11R-A33R-07,11.7768,0.7809,0.9355,9.3468,10.0708,10.2347,0.6789,0.8055,4.8067,6.6928,PRAD
TCGA-KK-A7B4-01A-11R-A32O-07,11.4442,0.4661,0.9507,8.6247,9.0625,9.2249,1.0272,0.6012,5.2719,6.3143,PRAD
TCGA-KK-A8I4-01A-11R-A36G-07,13.2061,1.2431,2.0846,9.955,10.9046,10.5715,2.0308,1.0156,6.2045,6.4951,PRAD
TCGA-KK-A8I5-01A-11R-A36G-07,12.8675,0.3022,0.7139,9.0642,9.8703,9.6109,0.5143,0.3816,5.3819,6.0361,PRAD
TCGA-KK-A8I6-01A-11R-A36G-07,11.6886,0.6922,0.5807,8.3202,8.392,8.4982,0.5987,0.3442,4.972,6.1413,PRAD
TCGA-KK-A8I7-01A-21R-A36G-07,12.5184,0.7858,0.4935,9.1524,9.7769,9.4462,0.2743,0.7036,4.9647,6.087,PRAD
TCGA-KK-A8I8-01A-11R-A36G-07,11.179,0.2737,0.5412,7.8173,8.5201,8.8742,0.8207,0.375,4.5769,5.6167,PRAD
TCGA-KK-A8I9-01A-11R-A36G-07,12.578,1.6776,0.9491,8.8282,9.9349,8.8848,1.2003,1.1885,5.7414,6.4066,PRAD
TCGA-KK-A8IA-01A-11R-A36G-07,11.3535,0.4623,0.557,7.9397,8.9476,8.8095,0.3721,0.1981,5.3514,6.6619,PRAD
TCGA-KK-A8IB-01A-11R-A36G-07,11.7462,0.6823,1.09,8.2881,9.3026,8.7985,0.7156,0.1992,4.7187,5.7579,PRAD
TCGA-KK-A8IC-01A-11R-A36G-07,12.7101,0.5945,1.1943,9.272,9.8255,9.0551,0.6997,0.5805,5.1205,6.5221,PRAD
TCGA-KK-A8ID-01A-11R-A36G-07,11.3068,0.8726,0.9622,6.5498,8.1513,9.4191,0.4642,0.3744,4.9318,5.5967,PRAD
TCGA-KK-A8IF-01A-11R-A36G-07,11.5969,0.6656,0.1033,7.3281,8.1696,8.9146,0.1058,0.1634,4.2975,5.6542,PRAD
TCGA-KK-A8IG-01A-11R-A36G-07,12.0741,0.7224,0.572,8.0876,8.7038,8.703,0.4649,0.5921,4.276,5.5593,PRAD
TCGA-KK-A8IH-01A-11R-A36G-07,12.6616,0.5511,1.0537,9.377,10.4167,10.3644,0.6286,0.5406,5.8554,6.8912,PRAD
