sample,weakBinder,canType
TCGA-FD-A3SJ-01,3807,BLCA
TCGA-CF-A47X-01,15975,BLCA
TCGA-UY-A9PA-01,8779,BLCA
TCGA-G2-A2EK-01,9030,BLCA
TCGA-E5-A2PC-01,2579,BLCA
TCGA-XF-AAMJ-01,4080,BLCA
TCGA-R3-A69X-01,1642,BLCA
TCGA-CU-A3QU-01,8637,BLCA
TCGA-FD-A3SO-01,1912,BLCA
TCGA-FD-A5BX-01,688,BLCA
TCGA-GV-A3QK-01,14330,BLCA
TCGA-ZF-A9RM-01,17655,BLCA
TCGA-XF-A8HC-01,21931,BLCA
TCGA-XF-A9SJ-01,3088,BLCA
TCGA-XF-A9SL-01,2359,BLCA
TCGA-GD-A3OP-01,4559,BLCA
TCGA-2F-A9KP-01,12006,BLCA
TCGA-DK-A3X2-01,4395,BLCA
TCGA-ZF-AA4W-01,3478,BLCA
TCGA-E7-A7DV-01,1420,BLCA
TCGA-E7-A7DU-01,12288,BLCA
TCGA-HQ-A2OE-01,7046,BLCA
TCGA-XF-AAN0-01,9992,BLCA
TCGA-CF-A8HX-01,29996,BLCA
TCGA-DK-AA71-01,2425,BLCA
TCGA-G2-A3IE-01,9222,BLCA
TCGA-H4-A2HO-01,6393,BLCA
TCGA-BT-A20P-01,11800,BLCA
TCGA-E5-A4U1-01,23109,BLCA
TCGA-DK-A1AB-01,941,BLCA
TCGA-UY-A78N-01,7853,BLCA
TCGA-DK-A3IS-01,4001,BLCA
TCGA-S5-AA26-01,44393,BLCA
TCGA-XF-A9T0-01,13510,BLCA
TCGA-FD-A6TF-01,4672,BLCA
TCGA-GC-A4ZW-01,4163,BLCA
TCGA-FD-A3N5-01,3612,BLCA
TCGA-FD-A6TH-01,1794,BLCA
TCGA-GV-A3JZ-01,4976,BLCA
TCGA-XF-A8HD-01,5528,BLCA
TCGA-XF-AAMX-01,12766,BLCA
TCGA-DK-AA6S-01,4824,BLCA
TCGA-XF-AAML-01,5791,BLCA
TCGA-CF-A47T-01,8376,BLCA
TCGA-CF-A47V-01,28935,BLCA
TCGA-FJ-A3ZF-01,22314,BLCA
TCGA-BL-A0C8-01,28713,BLCA
TCGA-BL-A13I-01,31264,BLCA
TCGA-BL-A13J-01,43878,BLCA
TCGA-E2-A15K-01,3745,BRCA
TCGA-C8-A132-01,2276,BRCA
TCGA-E2-A1IJ-01,1909,BRCA
TCGA-A8-A08Z-01,2219,BRCA
TCGA-E9-A244-01,1321,BRCA
TCGA-A8-A06Y-01,2148,BRCA
TCGA-AN-A0XP-01,2503,BRCA
TCGA-D8-A1XQ-01,1148,BRCA
TCGA-A8-A07B-01,3963,BRCA
TCGA-AN-A0XL-01,3659,BRCA
TCGA-BH-A0DV-01,346,BRCA
TCGA-BH-A0W3-01,5109,BRCA
TCGA-OL-A66L-01,5567,BRCA
TCGA-A1-A0SG-01,1403,BRCA
TCGA-A8-A06Q-01,2967,BRCA
TCGA-C8-A12L-01,4373,BRCA
TCGA-D8-A27F-01,3204,BRCA
TCGA-E9-A248-01,864,BRCA
TCGA-E9-A5UP-01,11111,BRCA
TCGA-LL-A9Q3-01,3714,BRCA
TCGA-BH-A1FL-01,12634,BRCA
TCGA-GM-A2DN-01,1906,BRCA
TCGA-AC-A2BK-01,3691,BRCA
TCGA-AC-A4ZE-01,39165,BRCA
TCGA-A8-A07O-01,2860,BRCA
TCGA-AO-A0JD-01,865,BRCA
TCGA-EW-A1OY-01,1244,BRCA
TCGA-A7-A0CH-01,1627,BRCA
TCGA-A8-A08L-01,2730,BRCA
TCGA-A2-A04X-01,2979,BRCA
TCGA-AR-A0TX-01,2698,BRCA
TCGA-D8-A27T-01,1508,BRCA
TCGA-D8-A1JJ-01,2939,BRCA
TCGA-C8-A1HG-01,2120,BRCA
TCGA-S3-A6ZG-01,12319,BRCA
TCGA-A2-A0T4-01,737,BRCA
TCGA-B6-A0I6-01,3107,BRCA
TCGA-A8-A099-01,1781,BRCA
TCGA-E9-A1RC-01,1525,BRCA
TCGA-AC-A8OP-01,27488,BRCA
TCGA-BH-A0B1-01,854,BRCA
TCGA-B6-A0RG-01,1934,BRCA
TCGA-D8-A1JH-01,1849,BRCA
TCGA-A2-A0CR-01,2226,BRCA
TCGA-BH-A0DS-01,1207,BRCA
TCGA-A2-A0D1-01,5202,BRCA
TCGA-BH-A0HW-01,5018,BRCA
TCGA-A7-A425-01,23294,BRCA
TCGA-E2-A9RU-01,2231,BRCA
TCGA-EW-A1PG-01,175,BRCA
TCGA-A2-A1G1-01,1480,BRCA
TCGA-D8-A27H-01,1400,BRCA
TCGA-AN-A0AR-01,3946,BRCA
TCGA-AR-A251-01,2343,BRCA
TCGA-D8-A1XU-01,1082,BRCA
TCGA-E2-A576-01,7594,BRCA
TCGA-E9-A1NI-01,3623,BRCA
TCGA-BH-A1F5-01,3212,BRCA
TCGA-E2-A10A-01,2551,BRCA
TCGA-OL-A6VQ-01,2081,BRCA
TCGA-E9-A1R4-01,10017,BRCA
TCGA-D8-A140-01,6159,BRCA
TCGA-LD-A74U-01,8873,BRCA
TCGA-S3-AA11-01,30592,BRCA
TCGA-D8-A1XS-01,3301,BRCA
TCGA-AO-A03T-01,2791,BRCA
TCGA-B6-A0RL-01,8660,BRCA
TCGA-E2-A10E-01,4116,BRCA
TCGA-E9-A1NH-01,2319,BRCA
TCGA-C8-A12K-01,2407,BRCA
